class,ap,precision,recall,n_positive,scientific_name,common_name,class_name
1161364,,,,0,Guyalna cuta,Guyalna cuta,Insecta
116570,1.0,1.0,0.2,10,Caiman yacare,Southern Spectacled Caiman,Reptilia
1176823,,,,0,Leptodactylus luctator,Wrestler Frog,Amphibia
1491113,0.9999999999999998,1.0,0.5,28,Adenomera guarani,Guaraní leaf-litter frog,Amphibia
1595929,,,,0,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia
209233,,,,0,Equus caballus,Feral Horse,Mammalia
22930,,,,0,Leptodactylus syphax,Basin White-lipped Frog,Amphibia
22956,,,,0,Leptodactylus mystacinus,Mustached Frog,Amphibia
22961,1.0,1.0,1.0,24,Leptodactylus podicipinus,Pointedbelly Frog,Amphibia
22967,1.0,1.0,1.0,24,Leptodactylus elenae,Marbled White-lipped Frog,Amphibia
22973,1.0,1.0,0.9444444444444444,72,Leptodactylus fuscus,Whistling Grass Frog,Amphibia
22983,,,,0,Leptodactylus labyrinthicus,Pepper Frog,Amphibia
22985,,,,0,Leptodactylus petersii,Peter's Jungle Frog,Amphibia
23150,,,,0,Physalaemus centralis,Central Dwarf Frog,Amphibia
23154,,,,0,Physalaemus albifrons,Bahia Dwarf Frog,Amphibia
23158,1.0,1.0,1.0,96,Physalaemus albonotatus,Pale-legged Weeping Frog,Amphibia
23176,,,,0,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Amphibia
23724,,,,0,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Amphibia
24279,1.0,1.0,0.9722222222222222,72,Scinax nasicus,Lesser Snouted Tree Frog,Amphibia
24285,,,,0,Scinax fuscovarius,Snouted Tree Frog,Amphibia
24287,,,,0,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Amphibia
24321,0.827138915006562,1.0,0.6190476190476191,42,Scinax acuminatus,Mato Grosso Snouted Tree Frog,Amphibia
244024,,,,0,Quesada gigas,Giant Cicada,Insecta
25073,0.08942770575393946,0.0,0.0,24,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia
25092,0.9999999999999999,1.0,1.0,20,Elachistocleis bicolor,Two-colored oval frog,Amphibia
25214,,,,0,Dermatonotus muelleri,Muller's Termite Frog,Amphibia
326272,0.22801705634063746,0.0,0.0,24,Physalaemus biligonigerus,Weeping Frog,Amphibia
41970,,,,0,Panthera onca,Jaguar,Mammalia
43435,,,,0,Alouatta caraya,Black Howling Monkey,Mammalia
47144,1.0,0.6666666666666666,1.0,4,Canis familiaris,Domestic Dog,Mammalia
47158son01,0.9999999999999999,1.0,1.0,24,Insect son01,Insect sonotype01,Insecta
47158son02,,,,0,Insect son02,Insect sonotype02,Insecta
47158son03,1.0,1.0,0.16666666666666666,24,Insect son03,Insect sonotype03,Insecta
47158son04,0.13363095238095238,0.0,0.0,8,Insect son04,Insect sonotype04,Insecta
47158son05,0.018205892088712344,0.0,0.0,4,Insect son05,Insect sonotype05,Insecta
47158son06,,,,0,Insect son06,Insect sonotype06,Insecta
47158son07,1.0,1.0,0.9583333333333334,48,Insect son07,Insect sonotype07,Insecta
47158son08,1.0,1.0,0.6,10,Insect son08,Insect sonotype08,Insecta
47158son09,,,,0,Insect son09,Insect sonotype09,Insecta
47158son10,,,,0,Insect son10,Insect sonotype10,Insecta
47158son11,0.21915399163853772,0.0,0.0,24,Insect son11,Insect sonotype11,Insecta
47158son12,,,,0,Insect son12,Insect sonotype12,Insecta
47158son13,0.6498410540643544,1.0,0.5,48,Insect son13,Insect sonotype13,Insecta
47158son14,,,,0,Insect son14,Insect sonotype14,Insecta
47158son15,,,,0,Insect son15,Insect sonotype15,Insecta
47158son16,,,,0,Insect son16,Insect sonotype16,Insecta
47158son17,1.0000000000000002,1.0,0.2222222222222222,18,Insect son17,Insect sonotype17,Insecta
47158son18,1.0,1.0,0.16666666666666666,24,Insect son18,Insect sonotype18,Insecta
