primary_label,inat_taxon_id,scientific_name,common_name,class_name
1161364,1161364,Guyalna cuta,Guyalna cuta,Insecta
116570,116570,Caiman yacare,Southern Spectacled Caiman,Reptilia
1176823,1176823,Leptodactylus luctator,Wrestler Frog,Amphibia
1491113,1491113,Adenomera guarani,Guaraní leaf-litter frog,Amphibia
1595929,1595929,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia
209233,209233,Equus caballus,Feral Horse,Mammalia
22930,22930,Leptodactylus syphax,Basin White-lipped Frog,Amphibia
22956,22956,Leptodactylus mystacinus,Mustached Frog,Amphibia
22961,22961,Leptodactylus podicipinus,Pointedbelly Frog,Amphibia
22967,22967,Leptodactylus elenae,Marbled White-lipped Frog,Amphibia
22973,22973,Leptodactylus fuscus,Whistling Grass Frog,Amphibia
22983,22983,Leptodactylus labyrinthicus,Pepper Frog,Amphibia
22985,22985,Leptodactylus petersii,Peter's Jungle Frog,Amphibia
23150,23150,Physalaemus centralis,Central Dwarf Frog,Amphibia
23154,23154,Physalaemus albifrons,Bahia Dwarf Frog,Amphibia
23158,23158,Physalaemus albonotatus,Pale-legged Weeping Frog,Amphibia
23176,23176,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Amphibia
23724,23724,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Amphibia
24279,24279,Scinax nasicus,Lesser Snouted Tree Frog,Amphibia
24285,24285,Scinax fuscovarius,Snouted Tree Frog,Amphibia
24287,24287,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Amphibia
24321,24321,Scinax acuminatus,Mato Grosso Snouted Tree Frog,Amphibia
244024,244024,Quesada gigas,Giant Cicada,Insecta
25073,25073,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia
25092,25092,Elachistocleis bicolor,Two-colored oval frog,Amphibia
25214,25214,Dermatonotus muelleri,Muller's Termite Frog,Amphibia
326272,326272,Physalaemus biligonigerus,Weeping Frog,Amphibia
41970,41970,Panthera onca,Jaguar,Mammalia
43435,43435,Alouatta caraya,Black Howling Monkey,Mammalia
47144,47144,Canis familiaris,Domestic Dog,Mammalia
47158son01,47158,Insect son01,Insect sonotype01,Insecta
47158son02,47158,Insect son02,Insect sonotype02,Insecta
47158son03,47158,Insect son03,Insect sonotype03,Insecta
47158son04,47158,Insect son04,Insect sonotype04,Insecta
47158son05,47158,Insect son05,Insect sonotype05,Insecta
47158son06,47158,Insect son06,Insect sonotype06,Insecta
47158son07,47158,Insect son07,Insect sonotype07,Insecta
47158son08,47158,Insect son08,Insect sonotype08,Insecta
47158son09,47158,Insect son09,Insect sonotype09,Insecta
47158son10,47158,Insect son10,Insect sonotype10,Insecta
47158son11,47158,Insect son11,Insect sonotype11,Insecta
47158son12,47158,Insect son12,Insect sonotype12,Insecta
47158son13,47158,Insect son13,Insect sonotype13,Insecta
47158son14,47158,Insect son14,Insect sonotype14,Insecta
47158son15,47158,Insect son15,Insect sonotype15,Insecta
47158son16,47158,Insect son16,Insect sonotype16,Insecta
47158son17,47158,Insect son17,Insect sonotype17,Insecta
47158son18,47158,Insect son18,Insect sonotype18,Insecta
47158son19,47158,Insect son19,Insect sonotype19,Insecta
47158son20,47158,Insect son20,Insect sonotype20,Insecta
47158son21,47158,Insect son21,Insect sonotype21,Insecta
47158son22,47158,Insect son22,Insect sonotype22,Insecta
47158son23,47158,Insect son23,Insect sonotype23,Insecta
47158son24,47158,Insect son24,Insect sonotype24,Insecta
47158son25,47158,Insect son25,Insect sonotype25,Insecta
476521,476521,Physalaemus nattereri,Cuyaba Dwarf Frog,Amphibia
516975,516975,Sapajus cay,Hooded Capuchin,Mammalia
517063,517063,Pithecopus azureus,Southern Orange-legged Leaf Frog,Amphibia
555123,555123,Boana lundii,Usina Tree Frog,Amphibia
555145,555145,Boana punctata,Polka-dot Tree Frog,Amphibia
555146,555146,Boana raniceps,Chaco Tree Frog,Amphibia
64898,64898,Ameerega picta,Yungas de la Paz Poison Frog,Amphibia
65377,65377,Dendropsophus minutus,Lesser Tree Frog,Amphibia
65380,65380,Dendropsophus nanus,Dwarf Tree Frog,Amphibia
66971,66971,Pseudis platensis,Paraguayan Swimming Frog,Amphibia
67107,67107,Rhinella diptycha,Rococo Toad,Amphibia
67252,67252,Trachycephalus typhonius,Milk Frog,Amphibia
70711,70711,Leptodactylus macrosternum,Cei's White-lipped Frog,Amphibia
738183,738183,Plecturocebus pallescens,White-coated Titi,Mammalia
74113,74113,Bos taurus,Highland,Mammalia
74580,74580,Mico melanurus,Black-tailed Marmoset,Mammalia
760266,760266,Prionacris erosa,Prionacris erosa,Insecta
ashgre1,17431,Hylophilus pectoralis,Ashy-headed Greenlet,Aves
astcra1,508907,Mustelirallus albicollis,Ash-throated Crake,Aves
bafcur1,2046,Crax fasciolata,Bare-faced Curassow,Aves
baffal1,4699,Micrastur ruficollis,Barred Forest-Falcon,Aves
banana,10199,Coereba flaveola,Bananaquit,Aves
barant1,15764,Thamnophilus doliatus,Barred Antshrike,Aves
batbel1,8854,Procnias nudicollis,Bare-throated Bellbird,Aves
baymac,19018,Ara ararauna,Blue-and-yellow Macaw,Aves
bbwduc,6893,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves
bcwfin2,558564,Microspingus melanoleucus,Black-capped Warbling Finch,Aves
bkcdon,116877,Donacobius atricapilla,Black-capped Donacobius,Aves
bkhpar,367562,Aratinga nenday,Nanday Parakeet,Aves
blchaw1,5346,Busarellus nigricollis,Black-collared Hawk,Aves
blheag1,5291,Spizaetus tyrannus,Black Hawk-Eagle,Aves
blttit1,8830,Tityra cayana,Black-tailed Tityra,Aves
bncfly,16016,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves
bobfly1,16737,Megarynchus pitangua,Boat-billed Flycatcher,Aves
brcmar1,11870,Progne tapera,Brown-chested Martin,Aves
brnowl,1578502,Tyto furcata,American Barn Owl,Aves
bucmot4,204447,Momotus momota,Amazonian Motmot,Aves
bucpar,367564,Thectocercus acuticaudatus,Blue-crowned Parakeet,Aves
bufpar,18978,Amazona aestiva,Turquoise-fronted Amazon,Aves
bunibi1,3766,Theristicus caudatus,Buff-necked Ibis,Aves
burowl,19975,Athene cunicularia,Burrowing Owl,Aves
camfli1,18262,Colaptes campestris,Campo Flicker,Aves
chacha1,2088,Ortalis canicollis,Chaco Chachalaca,Aves
chbmoc1,14878,Mimus saturninus,Chalk-browed Mockingbird,Aves
chobla1,10723,Gnorimopsar chopi,Chopi Blackbird,Aves
chvcon1,10013,Conirostrum speciosum,Chestnut-vented Conebill,Aves
cibspi1,10921,Synallaxis hypospodia,Cinereous-breasted Spinetail,Aves
coffal1,4698,Micrastur semitorquatus,Collared Forest-Falcon,Aves
compau,19627,Nyctidromus albicollis,Pauraque,Aves
compot1,19667,Nyctibius griseus,Common Potoo,Aves
crbthr1,12710,Turdus amaurochalinus,Creamy-bellied Thrush,Aves
crebec1,8681,Pachyramphus validus,Crested Becard,Aves
dwatin1,20714,Taoniscus nanus,Dwarf Tinamou,Aves
epaori4,72954,Icterus pyrrhopterus,Variable Oriole,Aves
eulfly1,17231,Lathrotriccus euleri,Euler's Flycatcher,Aves
fabwre1,144880,Cantorchilus guarayanus,Fawn-breasted Wren,Aves
fepowl,19822,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves
ficman1,14344,Machaeropterus pyrocephalus,Fiery-capped Manakin,Aves
flawar1,201223,Myiothlypis flaveola,Flavescent Warbler,Aves
fotfly,16793,Tyrannus savana,Fork-tailed Flycatcher,Aves
fusfly1,17076,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves
gilhum1,5979,Hylocharis chrysura,Gilded Hummingbird,Aves
giwrai1,460,Aramides ypecaha,Giant Wood Rail,Aves
glteme1,1289639,Chionomesa fimbriata,Glittering-throated Emerald,Aves
grasal3,9850,Saltator coerulescens,Bluish-grey Saltator,Aves
greani1,1970,Crotophaga major,Greater Ani,Aves
greant1,15957,Taraba major,Great Antshrike,Aves
greela,16892,Myiopagis viridicata,Greenish Elaenia,Aves
grekis,16956,Pitangus sulphuratus,Great Kiskadee,Aves
grepot1,19680,Nyctibius grandis,Great Potoo,Aves
gretho2,11632,Phacellodomus ruber,Greater Thornbird,Aves
greyel,3892,Tringa melanoleuca,Greater Yellowlegs,Aves
grfdov1,3302,Leptotila rufaxilla,Grey-fronted Dove,Aves
grhtan1,10698,Eucometis penicillata,Grey-headed Tanager,Aves
gycwor1,513889,Aramides cajaneus,Grey-cowled Wood Rail,Aves
horscr1,6908,Anhima cornuta,Horned Screamer,Aves
houspa,13858,Passer domesticus,House Sparrow,Aves
hyamac1,18938,Anodorhynchus hyacinthinus,Hyacinth Macaw,Aves
larela1,16734,Elaenia spectabilis,Large Elaenia,Aves
lesela1,578460,Elaenia chiriquensis,Lesser Elaenia,Aves
lesgrf1,10555,Emberizoides ypiranganus,Lesser Grass-Finch,Aves
limpki,7,Aramus guarauna,Limpkin,Aves
linwoo1,17858,Dryocopus lineatus,Lineated Woodpecker,Aves
litcuc2,72740,Coccycua minuta,Little Cuckoo,Aves
litnig1,367507,Setopagis parvula,Little Nightjar,Aves
mabpar,19162,Pyrrhura frontalis,Maroon-bellied Parakeet,Aves
magant1,15737,Cercomacra melanaria,Mato Grosso Antbird,Aves
magtan2,72727,Cissopis leverianus,Magpie Tanager,Aves
masgna1,7509,Polioptila dumicola,Masked Gnatcatcher,Aves
nacnig1,19661,Chordeiles nacunda,Nacunda Nighthawk,Aves
ocecra1,1506288,Rufirallus schomburgkii,Ocellated Crake,Aves
oliwoo1,11511,Sittasomus griseicapillus,Olivaceous Woodcreeper,Aves
orbtro3,62564,Icterus croconotus,Orange-backed Troupial,Aves
orwpar,18982,Amazona amazonica,Orange-winged Amazon,Aves
osprey,116999,Pandion haliaetus,Osprey,Aves
pabspi1,10999,Synallaxis albescens,Pale-breasted Spinetail,Aves
palhor3,11281,Furnarius leucopus,Pale-legged Hornero,Aves
paltan1,10297,Thraupis palmarum,Palm Tanager,Aves
phecuc1,1982,Dromococcyx phasianellus,Pheasant Cuckoo,Aves
picpig2,3102,Patagioenas picazuro,Picazuro Pigeon,Aves
