filename,start,end,primary_label
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:00,00:00:05,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:05,00:00:10,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:10,00:00:15,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:15,00:00:20,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:20,00:00:25,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:25,00:00:30,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:30,00:00:35,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:35,00:00:40,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:40,00:00:45,22961;23158;24321;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:45,00:00:50,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:50,00:00:55,22961;23158;24321;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:55,00:01:00,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:00,00:00:05,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:05,00:00:10,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:10,00:00:15,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:15,00:00:20,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:20,00:00:25,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:25,00:00:30,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:30,00:00:35,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:35,00:00:40,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:40,00:00:45,22961;23158;24321;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:45,00:00:50,22961;23158;24321;517063;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:50,00:00:55,22961;23158;24321;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:55,00:01:00,22961;23158;24321;517063;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:00,00:00:05,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:05,00:00:10,22973;517063;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:10,00:00:15,22973;517063;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:15,00:00:20,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:20,00:00:25,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:25,00:00:30,22973;65380;bunibi1
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:30,00:00:35,22973;65380;bunibi1
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:35,00:00:40,22973;47144;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:40,00:00:45,22973;47144;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:45,00:00:50,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:50,00:00:55,22973
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:55,00:01:00,22973
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:00,00:00:05,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:05,00:00:10,22973;517063;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:10,00:00:15,22973;517063;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:15,00:00:20,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:20,00:00:25,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:25,00:00:30,22973;65380;bunibi1
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:30,00:00:35,22973;65380;bunibi1
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:35,00:00:40,22973;47144;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:40,00:00:45,22973;47144;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:45,00:00:50,22973;65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:50,00:00:55,22973
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:55,00:01:00,22973
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:00,00:00:05,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:05,00:00:10,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:10,00:00:15,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:15,00:00:20,22973;24321;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:20,00:00:25,22973;24321;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:25,00:00:30,22973;24321;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:30,00:00:35,22973;24321;517063;555146;65380;66971
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:35,00:00:40,22973;517063;555146;65380;66971
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:40,00:00:45,22973;555146;65380;66971
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:45,00:00:50,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:50,00:00:55,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:55,00:01:00,22973;517063;555146;65380;66971
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:00,00:00:05,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:05,00:00:10,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:10,00:00:15,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:15,00:00:20,22973;24321;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:20,00:00:25,22973;24321;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:25,00:00:30,22973;24321;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:30,00:00:35,22973;24321;517063;555146;65380;66971
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:35,00:00:40,22973;517063;555146;65380;66971
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:40,00:00:45,22973;555146;65380;66971
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:45,00:00:50,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:50,00:00:55,22973;517063;555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:55,00:01:00,22973;517063;555146;65380;66971
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:00,00:00:05,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:05,00:00:10,24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:10,00:00:15,22973;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:15,00:00:20,22973;23158;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:20,00:00:25,23158;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:25,00:00:30,24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:30,00:00:35,22973;23158;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:35,00:00:40,23158;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:40,00:00:45,22973;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:45,00:00:50,22973;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:50,00:00:55,22973;23158;24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:55,00:01:00,24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:00,00:00:05,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:05,00:00:10,24279;517063;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:10,00:00:15,22973;24279;517063;555146;65380
